id,name,price,is_available,is_featured,dt_created,lister_id,is_locked,is_routed,last_locked,address_num,address_street,address_apt,address_zip
247,Haier Large Two Door Mini Fridge,107,TRUE,FALSE,2021-04-29 15:47:52,32,FALSE,FALSE,0,70,Morningside Drive,,10027
248,Medium Magic Chef Mini Fridge,90,TRUE,FALSE,2021-05-01 19:06:48,32,FALSE,FALSE,0,70,Morningside Drive,,10027
249,Medium Stainless Steel Mini Fridge,95,TRUE,TRUE,2021-05-02 16:50:14,32,FALSE,FALSE,0,70,Morningside Drive,,10027
250,Haier Large Mini Fridge,100,TRUE,TRUE,2021-05-03 17:30:01,32,FALSE,FALSE,0,70,Morningside Drive,,10027
251,Silver 3-Light Floor Lamp,36,TRUE,TRUE,2021-05-05 3:55:37,32,FALSE,FALSE,0,70,Morningside Drive,,10027
252,Holmes Oscillating Tower Fan,47,TRUE,FALSE,2021-05-05 3:55:37,32,FALSE,FALSE,0,70,Morningside Drive,,10027
253,Westinghouse 700W Microwave,60,TRUE,TRUE,2021-05-07 4:28:49,32,FALSE,FALSE,0,70,Morningside Drive,,10027
254,Rival 0.7 Cu. Ft. Microwave,56,TRUE,FALSE,2021-05-07 4:28:49,32,FALSE,FALSE,0,70,Morningside Drive,,10027
255,Oster Electric Stove,27,TRUE,FALSE,2021-05-13 18:10:23,282,FALSE,FALSE,0,70,Morningside Drive,,10027
256,Hamilton Beach Electric Kettle,25,TRUE,FALSE,2021-05-13 18:10:23,282,FALSE,FALSE,0,70,Morningside Drive,,10027
257,Vornado Medium Circular Fan,30,TRUE,FALSE,2021-05-19 0:24:27,32,FALSE,FALSE,0,70,Morningside Drive,,10027
258,Seville Large Tower Fan,40,TRUE,FALSE,2021-05-20 0:40:43,32,FALSE,FALSE,0,70,Morningside Drive,,10027
259,Lasko Tower Fan + Remote,47,TRUE,TRUE,2021-05-20 0:40:44,32,FALSE,FALSE,0,70,Morningside Drive,,10027
260,2-Slice Toaster,27,TRUE,TRUE,2021-05-23 2:08:20,32,FALSE,FALSE,0,70,Morningside Drive,,10027
261,Hamilton Beach 2-Slice Toaster,28,TRUE,FALSE,2021-05-23 2:08:20,32,FALSE,FALSE,0,70,Morningside Drive,,10027
262,Swivel Desk Chair,40,TRUE,FALSE,2021-05-29 18:16:51,32,FALSE,FALSE,0,70,Morningside Drive,,10027
263,LG Window AC,85,TRUE,FALSE,2021-06-03 22:09:53,32,FALSE,FALSE,0,70,Morningside Drive,,10027
264,Bike - Specialized Brand,125,TRUE,FALSE,2021-06-08 22:18:36,32,FALSE,FALSE,0,70,Morningside Drive,,10027
265,Bike - Gary Fisher Brand,125,TRUE,FALSE,2021-06-08 22:18:36,32,FALSE,FALSE,0,70,Morningside Drive,,10027
266,Wire Cord Bike Combo Lock,13,TRUE,FALSE,2021-06-08 22:18:36,32,FALSE,FALSE,0,70,Morningside Drive,,10027
267,Hand-held Bike Pump,15,TRUE,FALSE,2021-06-08 22:18:36,32,FALSE,FALSE,0,70,Morningside Drive,,10027
268,Bike Helmet,15,TRUE,FALSE,2021-06-09 22:55:23,32,FALSE,FALSE,0,70,Morningside Drive,,10027
269,Fire TV Stick,25,TRUE,FALSE,2021-06-24 2:40:32,32,FALSE,FALSE,0,70,Morningside Drive,,10027
270,Acer 21” HD Computer Monitor,82,TRUE,FALSE,2021-06-27 3:41:24,32,FALSE,FALSE,0,70,Morningside Drive,,10027
271,Betty Crocker Hand Blender,24,TRUE,FALSE,2021-07-17 1:27:08,32,FALSE,FALSE,0,70,Morningside Drive,,10027
272,Black + Decker Iron,30,TRUE,FALSE,2021-07-17 1:27:08,32,FALSE,FALSE,0,70,Morningside Drive,,10027
